cluster_id,cluster_name,keyword,keyword_role,intent,primary_url,url_role,status,priority,notes
C01,Brand,Riva Bistro,primary,navigational_brand,/,primary,KEEP,HIGH,Brand home owner
C01,Brand,Riva Bistro Stockholm,secondary,navigational_brand,/,primary,KEEP,HIGH,
C01,Brand,Riva Bistro Kungsholmen,secondary,navigational_brand,/,primary,KEEP,HIGH,
C01,Brand,Riva Bistro Hornsbergs Strand,secondary,navigational_brand,/,primary,KEEP,MEDIUM,
C01,Brand,Riva Bistro meny,secondary,navigational_menu,/meny,support,KEEP,HIGH,Brand+menu → meny support not co-primary on /
C01,Brand,Riva Bistro boka bord,secondary,navigational_booking,/boka,support,KEEP,HIGH,Brand+book → boka only
C01,Brand,Riva Bistro öppettider,secondary,navigational_nap,/kontakt,support,KEEP,HIGH,
C01,Brand,Riva Bistro adress,secondary,navigational_nap,/kontakt,support,KEEP,HIGH,
C02,Local Kungsholmen discovery,restaurang Kungsholmen,primary,local_commercial,/,primary,KEEP,HIGH,Single primary owner /
C02,Local Kungsholmen discovery,bistro Kungsholmen,secondary,local_commercial,/,primary,KEEP,HIGH,
C02,Local Kungsholmen discovery,mysig restaurang Kungsholmen,secondary,local_commercial,/,primary,KEEP,MEDIUM,
C02,Local Kungsholmen discovery,restauranger Kungsholmen,secondary,local_commercial,/,primary,KEEP,MEDIUM,
C02,Local Kungsholmen discovery,matställe Kungsholmen,secondary,local_commercial,/,primary,MONITOR,LOW,Soft synonym — monitor only
C03,Dinner experience,middag Kungsholmen,primary,dinner_discovery,/,primary,KEEP,HIGH,/ owns dinner discovery; /boka converts
C03,Dinner experience,kvällsrestaurang Kungsholmen,secondary,dinner_discovery,/,primary,KEEP,MEDIUM,
C03,Dinner experience,middag Riva Bistro,secondary,dinner_discovery,/,primary,KEEP,MEDIUM,
C03,Dinner experience,helgmiddag Kungsholmen,secondary,dinner_discovery,/boka,support,KEEP,LOW,Conversion support only
C03,Dinner experience,middag Hornsbergs Strand,secondary,dinner_discovery,/,primary,MONITOR,LOW,Do not give /kontakt dinner primary
C04,Menu,Riva Bistro meny,primary,menu_informational,/meny,primary,KEEP,HIGH,
C04,Menu,meny Kungsholmen,secondary,menu_informational,/meny,primary,KEEP,HIGH,
C04,Menu,restaurang meny Kungsholmen,secondary,menu_informational,/meny,primary,KEEP,HIGH,
C04,Menu,middagsmeny Kungsholmen,secondary,menu_informational,/meny,primary,KEEP,MEDIUM,
C04,Menu,säsongsmeny Stockholm,secondary,menu_informational,/meny,primary,MONITOR,LOW,
C05,Live dishes,entrecôte Kungsholmen,primary,dish,/meny,primary,KEEP,MEDIUM,Live CMS 2026-09-06: Entrecôte
C05,Live dishes,Riva Bistro entrecôte,secondary,dish,/meny,primary,KEEP,MEDIUM,
C05,Live dishes,halstrad röding Kungsholmen,primary,dish,/meny,primary,KEEP,MEDIUM,Live CMS: Halstrad röding — one primary dish term per row ok within cluster
C05,Live dishes,röding Kungsholmen,secondary,dish,/meny,primary,KEEP,MEDIUM,
C05,Live dishes,grillad lammracks Kungsholmen,primary,dish,/meny,primary,KEEP,MEDIUM,Live CMS: Grillad lammracks
C05,Live dishes,lammracks Kungsholmen,secondary,dish,/meny,primary,KEEP,MEDIUM,
C05,Live dishes,Rivas köttbullar,primary,dish,/meny,primary,KEEP,MEDIUM,Live CMS: Rivas köttbullar
C05,Live dishes,köttbullar Kungsholmen,secondary,dish,/meny,primary,KEEP,MEDIUM,
C05,Live dishes,entrecôte Stockholm,secondary,dish,/meny,primary,MONITOR,LOW,City modifier — weak
C06,Booking,boka bord Kungsholmen,primary,transactional_booking,/boka,primary,KEEP,HIGH,Only /boka owns booking primaries
C06,Booking,boka bord Riva Bistro,secondary,transactional_booking,/boka,primary,KEEP,HIGH,
C06,Booking,boka restaurang Kungsholmen,secondary,transactional_booking,/boka,primary,KEEP,HIGH,
C06,Booking,boka middag Kungsholmen,secondary,transactional_booking,/boka,primary,KEEP,HIGH,
